timestamp,total
2026-08-14T18:44:50.637Z,196
2026-08-14T18:50:03.461Z,197
2026-08-15T01:42:09.460Z,205
2026-08-15T06:50:56.284Z,223
2026-08-15T12:51:44.043Z,243
2026-08-15T18:39:39.971Z,250
2026-08-16T01:49:58.226Z,258
2026-08-16T06:51:52.464Z,261
2026-08-16T12:53:15.511Z,276
2026-08-16T18:38:50.001Z,294
2026-08-17T01:47:33.068Z,302
2026-08-17T04:26:27.628Z,307
2026-08-17T16:16:12.251Z,335
2026-08-18T16:20:48.398Z,361
2026-08-19T16:20:23.470Z,379
2026-08-20T16:23:31.204Z,394
2026-08-21T15:28:23.581Z,416
2026-08-21T16:34:47.785Z,422
2026-08-22T04:33:14.980Z,433
2026-08-22T16:24:42.682Z,460
2026-08-23T04:37:32.790Z,482
2026-08-23T16:25:37.245Z,510
2026-08-24T04:44:46.857Z,548
2026-08-24T16:38:23.832Z,585
2026-08-25T04:39:12.404Z,610
2026-08-25T16:37:43.201Z,648
2026-08-26T04:39:46.189Z,662
2026-08-26T09:12:16.580Z,670
2026-08-26T09:18:25.221Z,671
2026-08-26T09:42:06.299Z,674
2026-08-26T09:55:44.804Z,677
2026-08-26T11:02:34.183Z,681
2026-08-26T13:10:42.764Z,683
2026-08-26T16:18:42.498Z,693
2026-08-27T05:39:56.428Z,709
2026-08-27T08:35:21.567Z,712
2026-08-27T11:23:18.319Z,724
2026-08-27T15:04:59.266Z,727
2026-08-28T01:29:43.994Z,737
2026-08-28T17:27:17.146Z,771
2026-08-29T04:10:16.608Z,786
2026-08-29T14:28:27.901Z,813
2026-08-29T18:28:37.447Z,818
2026-08-30T09:13:37.058Z,854
2026-08-30T14:25:42.260Z,867
2026-08-30T18:38:12.552Z,874
2026-08-31T09:43:49.008Z,903
2026-08-31T20:49:54.336Z,923
2026-09-01T08:38:26.927Z,952
2026-09-01T14:08:56.917Z,963
2026-09-01T18:30:04.503Z,973
2026-09-02T07:54:14.865Z,981
2026-09-02T13:39:50.245Z,986
2026-09-02T18:42:12.059Z,995
2026-09-03T08:02:13.048Z,1013
2026-09-03T13:35:01.293Z,1018
2026-09-03T18:38:02.722Z,1028
2026-09-04T07:58:01.862Z,1034
2026-09-04T13:32:11.655Z,1044
2026-09-04T18:23:50.970Z,1054
2026-09-05T07:39:56.791Z,1071
2026-09-05T12:42:33.274Z,1080
2026-09-05T17:20:44.065Z,1088
2026-09-06T07:54:04.090Z,1099
2026-09-06T12:53:12.324Z,1107
2026-09-06T17:36:23.443Z,1118
2026-09-07T08:17:12.743Z,1126
2026-09-07T15:02:57.519Z,1140
2026-09-07T19:09:15.809Z,1146
2026-09-08T08:04:25.877Z,1165
2026-09-08T13:38:02.612Z,1174
2026-09-08T15:53:00.648Z,1180
2026-09-08T18:39:55.795Z,1186
2026-09-09T08:08:06.915Z,1193
